Employee_ID,Name,Age,Gender,Department,Education_Level,Join_Date,Training_Program,Training_Date,Training_Attended,Pre_Training_Score,Post_Training_Score,Manager_Feedback_Score,Peer_Feedback_Score
a46ee99e-ae4e-489f-9659-d69f4ecad266,Sharon Burgess,37.0,M,HR,None,2022-05-13,Communication,12/11/2024,A,0.0,,4.0,4.0
b4b6c702-611a-4d79-8da7-61fd4f7c1491,Douglas Cunningham,,F,HR,Bachelors,2021-05-24,Python,15/05/2023,A,,,4.0,4.0
45d62ecd-3030-47f4-95d4-999b39d88a14,Cassandra Phillips,32.0,MALE,Engineering,None,2023-10-15,Cloud Computing,14/02/2025,P,0.0,89.0,5.0,5.0
5aeb5055-7d69-4580-97a8-510843b93b02,Hannah May,,M,Sales,Bachelors,2024-01-02,Project Management,09/02/2026,Present,86.0,0.0,4.0,4.0
d4ec494f-afe1-4845-a18a-f249d45a1de3,Travis Richards,,MALE,Marketing,PhD,2024-02-03,Communication,2024-09-23,P,,0.0,0.0,0.0
fe66c4fa-35ed-4f38-9197-107c89b702ed,Hannah Cochran,24.0,FEMALE,Engineering,None,2021-08-03,Excel,22/09/2023,A,25.0,,1.0,1.0
f7eefd84-b31c-4349-9799-2f42351b3e63,Sandra Bauer,37.0,M,Support,Bachelors,2022-09-20,Excel,13/11/2022,No,71.0,54.0,0.0,0.0
421a4d96-35f1-404b-85fe-21d68365d2cf,Dean Weeks,48.0,Male,Support,None,2021-01-13,Cloud Computing,01/05/2021,Absent,0.0,,,
79a759de-2fb9-450b-a190-aa44a8887521,Kevin Watson,,F,Sales,Bachelors,2024-08-30,Python,2025-04-15,P,78.0,,0.0,0.0
08aa6127-e6b9-43a3-96a0-c726a886a9fc,Brian Howard,,Male,Marketing,Diploma,2023-06-25,Cloud Computing,2025-05-26,P,,0.0,4.0,4.0
55afb783-79ba-49db-abe1-610b28a3df6e,Steven Lopez,,FEMALE,Support,Bachelors,2020-05-01,Excel,05/02/2021,Absent,93.0,70.0,4.0,4.0
8bf9a66d-7782-483f-a9a9-b2d74e681465,Alex Lamb,,M,Marketing,Bachelors,2023-04-24,Leadership,23/08/2024,Yes,41.0,0.0,5.0,5.0
6f5a181a-b1ca-464c-9372-748497f483d6,Kara Sanchez,52.0,Male,Finance,PhD,2024-02-24,Excel,05/12/2024,P,63.0,,4.0,4.0
adb5d5e6-7b88-44ef-967f-309699d75477,Andrew Hickman,,MALE,Marketing,None,2023-06-10,Excel,2025-06-14,Yes,,,4.0,4.0
ed486d9a-e69f-4f78-af4c-113dc35f4e12,Jennifer Schroeder,57.0,Male,Finance,Bachelors,2022-04-04,Excel,2023-08-19,Absent,21.0,0.0,5.0,5.0
29fd9b08-074f-4459-97d3-d50e66978f77,Tammy Tanner,29.0,F,Finance,Masters,2025-03-06,Project Management,07/08/2025,Yes,82.0,,4.0,4.0
9167adea-f8f1-466b-b395-1a4532ce6a3d,Beverly Cook,,MALE,Support,PhD,2024-09-21,Cloud Computing,03/12/2025,P,,0.0,1.0,1.0
caf91924-4f2c-4cfd-9724-5dacf8673a5b,Rebecca Ellis,,FEMALE,Sales,PhD,2020-09-21,Excel,08/04/2021,A,,37.0,5.0,5.0
25c1f899-a89a-42c5-8037-42ae75e913d8,Christopher Parker,,F,Marketing,Masters,2021-09-02,Excel,2023-03-22,Present,,44.0,4.0,4.0
6fc1aaeb-340c-48c9-9b96-4db13c7686e5,David Cohen,43.0,Male,Sales,Diploma,2021-11-01,Cloud Computing,11/11/2023,Absent,,91.0,4.0,4.0
583f097d-28c9-468c-ba33-38e001440fa3,Joshua Long,,F,Sales,PhD,2023-06-13,Python,2024-06-30,Yes,,0.0,2.0,2.0
6054a51c-ab1e-4d74-b8e9-0ae9e9af6d28,Michelle Hines,59.0,Male,Support,Masters,2022-01-27,Python,2023-12-14,Absent,0.0,33.0,1.0,1.0
c356dee2-517f-4316-a0e5-886663380b42,Jennifer Murphy,,FEMALE,Sales,None,2021-01-29,Python,2023-05-25,No,0.0,80.0,,
df683491-baf9-4a9d-acbc-63edd1ddd3e6,James Jones,35.0,FEMALE,Marketing,Masters,2022-09-03,Communication,24/03/2023,A,,29.0,2.0,2.0
96203553-f860-458f-bd8c-c32eab7d09b2,Stephen Thompson,,M,HR,None,2024-06-02,Leadership,2024-11-19,Absent,,,4.0,4.0
805f6a69-5700-48c1-9cbe-693e5e7f78d9,Lisa Walton,,FEMALE,Engineering,None,2022-04-07,Communication,29/04/2024,Absent,0.0,,3.0,3.0
7ffcb3fe-2359-4443-bae6-1863a5448d55,Daniel Graham,38.0,FEMALE,Finance,PhD,2020-12-03,Communication,29/07/2022,Present,,0.0,,
6cfb6acc-2e0c-4488-a76f-7d3c62522f26,Eric Leonard,,M,Marketing,Bachelors,2023-02-26,Communication,04/06/2024,A,0.0,44.0,5.0,5.0
f47bffba-f561-4747-82d2-2c7408ea6671,Christopher Fleming,,FEMALE,Engineering,None,2024-05-09,Python,29/01/2026,Present,0.0,,1.0,1.0
58a64190-1527-4d08-8e65-050b77052c84,Ashley Huffman,,MALE,Engineering,None,2021-03-03,Leadership,2021-05-16,No,0.0,,,
931e5f89-20f5-428d-91ab-ac77292fadf7,Melissa Smith,56.0,Male,HR,Bachelors,2020-05-14,Cloud Computing,28/10/2021,No,0.0,42.0,,
4d8e6d5e-0df4-43bb-8577-d3a56c262577,Patrick Wilson,29.0,F,Support,Bachelors,2023-09-07,Python,30/12/2023,Present,,0.0,0.0,0.0
793a650c-c7ef-48e2-9f71-7ac680871ba9,Sarah Bonilla,42.0,FEMALE,Support,PhD,2024-02-04,Cloud Computing,2025-11-23,Present,,27.0,3.0,3.0
6c8f8833-fb11-4ab6-adc8-6df8c9162eb7,Janet Leonard,,Male,Marketing,Diploma,2021-03-19,Leadership,2021-11-01,P,97.0,,5.0,5.0
ef263a84-f2bd-409b-964d-36b601c7ea8b,Deanna Robertson,,M,Sales,PhD,2021-07-18,Leadership,2022-02-10,P,0.0,0.0,0.0,0.0
481e67f3-76fa-4828-8c6d-5a716f54d2b9,Sean Stevens,27.0,MALE,Engineering,Masters,2024-02-19,Python,28/10/2026,Yes,100.0,41.0,1.0,1.0
5e8a35cb-afb7-49ba-996d-9303e3a060f1,George Phillips,27.0,M,Support,Masters,2020-09-09,Project Management,2021-05-19,No,,,4.0,4.0
4b11c181-2dc1-4143-8469-8c048af190cb,Alan Nguyen,,F,Marketing,Masters,2020-06-19,Python,11/07/2022,Absent,,0.0,3.0,3.0
bb5e14d6-5b74-4fdd-9c97-46949884f76d,Parker Wright,,M,Support,None,2020-07-26,Excel,18/11/2021,No,41.0,,4.0,4.0
ba0ebd56-2045-4dbd-9835-e89b88f4ca54,Johnny Orozco,,MALE,Support,PhD,2020-12-24,Communication,2021-07-01,P,0.0,54.0,2.0,2.0
9e0383d4-b061-46ff-b541-82e8f8cb57ff,Roger Conley,,M,Engineering,Bachelors,2023-03-16,Cloud Computing,2024-09-21,No,100.0,80.0,3.0,3.0
1397df7e-0a67-4292-b55a-fc3d91ae757c,Andrew Lynch,,MALE,Sales,Bachelors,2024-09-19,Python,2026-02-09,No,0.0,65.0,3.0,3.0
b9b3c0ee-faf2-4e80-833b-de7861c50cc8,Timothy Curry,43.0,Female,HR,PhD,2021-02-15,Communication,26/08/2021,A,89.0,,3.0,3.0
f34ab83d-2f16-4f3d-85ba-ec786696dea0,Mikayla Newton,,MALE,Finance,Diploma,2023-11-10,Communication,2026-03-17,P,0.0,,5.0,5.0
f714bab7-6ef5-4d48-a98f-8c8ad63c04c0,Corey Green,36.0,F,Finance,PhD,2020-12-09,Cloud Computing,03/12/2022,A,95.0,0.0,1.0,1.0
daafb63a-8a06-4bf5-8398-18fc9d96bf5e,Melissa Williams,55.0,FEMALE,Marketing,Masters,2022-11-05,Project Management,2023-05-24,P,26.0,59.0,5.0,5.0
ef7b80f1-c2be-4bac-b717-f44b79112e22,Paul Osborne,,Male,Support,Masters,2025-02-21,Communication,21/06/2027,Absent,,30.0,4.0,4.0
9ac88b74-0bb5-4276-abe3-77f380667038,Christopher Mitchell,27.0,Female,Support,None,2022-08-15,Python,2023-05-13,Present,81.0,64.0,4.0,4.0
c8347776-04ca-43d1-b506-e337683d21a9,Carlos Adams,,MALE,Finance,Diploma,2020-04-22,Project Management,2021-09-16,Absent,,,4.0,4.0
04a06d55-398e-4dc0-b8a8-ab5518deabfe,Connie Carr,,MALE,Support,Diploma,2022-12-21,Cloud Computing,2025-03-11,A,88.0,,4.0,4.0
98610b0b-a280-460f-abb7-3dac96818aed,James Spears,23.0,FEMALE,Marketing,Masters,2024-03-08,Python,2026-02-21,P,0.0,0.0,5.0,5.0
58ab766f-51d4-4c6a-9731-4c4657cb9e5b,Brittany Dickerson,36.0,F,Marketing,Bachelors,2020-05-16,Communication,2022-02-18,P,75.0,,1.0,1.0
2b85ffb7-b29e-4126-8840-e78a35ec5514,Dawn Johnson,,F,Support,Diploma,2024-07-05,Leadership,04/06/2026,P,73.0,,2.0,2.0
7c8dc9d0-a1a2-42d0-941f-b001f7bcbc14,Haley Clark,51.0,M,Support,Bachelors,2025-02-15,Project Management,2027-02-13,A,21.0,60.0,1.0,1.0
c03832d0-4ab4-4a29-8dd5-16c85e8354da,Michael Johnson,51.0,F,Support,Diploma,2024-10-08,Excel,2026-06-18,Present,,0.0,,
909cca67-5a04-4fb0-9fcf-d7112aaf1966,Zachary Johnson,,F,Support,PhD,2025-03-29,Cloud Computing,06/02/2027,P,34.0,0.0,0.0,0.0
